phase,block,trial,a1_left,chosen_op,correct,exp_a1_left,exp_a1_right,exp_a2_left,exp_a2_right
baseline,1,1,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,1,2,0,2,1,0.000000,0.000000,0.000000,0.000000
baseline,1,3,1,2,0,0.000000,0.000000,0.000000,0.000000
baseline,1,4,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,1,5,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,1,6,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,1,7,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,1,8,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,1,9,1,2,0,0.000000,0.000000,0.000000,0.000000
baseline,1,10,0,2,1,0.000000,0.000000,0.000000,0.000000
baseline,1,11,1,2,0,0.000000,0.000000,0.000000,0.000000
baseline,1,12,0,2,1,0.000000,0.000000,0.000000,0.000000
baseline,2,1,1,2,0,0.000000,0.000000,0.000000,0.000000
baseline,2,2,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,2,3,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,2,4,0,2,1,0.000000,0.000000,0.000000,0.000000
baseline,2,5,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,2,6,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,2,7,1,2,0,0.000000,0.000000,0.000000,0.000000
baseline,2,8,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,2,9,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,2,10,0,1,0,0.000000,0.000000,0.000000,0.000000
baseline,2,11,1,1,1,0.000000,0.000000,0.000000,0.000000
baseline,2,12,0,1,0,0.000000,0.000000,0.000000,0.000000
training1,1,1,1,1,1,0.000000,0.000000,0.000000,0.000000
training1,1,2,0,1,0,0.000000,0.000000,0.000000,0.000000
training1,1,3,1,2,0,0.000000,0.000000,0.000000,0.000000
training1,1,4,0,1,0,0.000000,0.000000,0.386654,0.000000
training1,1,5,1,1,1,0.000000,0.000000,0.386654,0.000000
training1,1,6,0,1,0,0.000000,0.000000,0.386654,0.000000
training1,1,7,1,1,1,0.000000,0.000000,0.386654,0.000000
training1,1,8,0,2,1,0.000000,0.000000,0.386654,0.000000
training1,1,9,1,2,0,0.000000,0.000000,0.386654,0.386654
training1,1,10,0,2,1,0.000000,0.000000,0.386654,0.386654
training1,1,11,1,1,1,0.000000,0.000000,0.386654,0.386654
training1,1,12,0,1,0,0.000000,0.000000,0.386654,0.386654
training1,2,1,1,2,0,0.000000,0.000000,0.386654,0.386654
training1,2,2,0,1,0,0.000000,0.000000,0.386654,0.386654
training1,2,3,1,1,1,0.599719,0.000000,0.386654,0.386654
training1,2,4,0,1,0,0.599719,0.000000,0.386654,0.386654
training1,2,5,1,1,1,0.665459,0.000000,0.386654,0.386654
training1,2,6,0,1,0,0.665459,0.000000,0.315200,0.386654
training1,2,7,1,1,1,0.712355,0.000000,0.315200,0.386654
training1,2,8,0,1,0,0.712355,0.000000,0.266037,0.386654
training1,2,9,1,1,1,0.747494,0.000000,0.266037,0.386654
training1,2,10,0,2,1,0.747494,0.000000,0.266037,0.386654
training1,2,11,1,1,1,0.774805,0.000000,0.266037,0.386654
training1,2,12,0,1,0,0.774805,0.000000,0.230141,0.386654
training1,3,1,1,1,1,0.796641,0.000000,0.230141,0.386654
training1,3,2,0,1,0,0.796641,0.000000,0.202780,0.386654
training1,3,3,1,1,1,0.814498,0.000000,0.202780,0.386654
training1,3,4,0,1,0,0.814498,0.000000,0.181233,0.386654
training1,3,5,1,1,1,0.829374,0.000000,0.181233,0.386654
training1,3,6,0,2,1,0.829374,0.599719,0.181233,0.386654
training1,3,7,1,1,1,0.841957,0.599719,0.181233,0.386654
training1,3,8,0,2,1,0.841957,0.665459,0.181233,0.386654
training1,3,9,1,1,1,0.852740,0.665459,0.181233,0.386654
training1,3,10,0,2,1,0.852740,0.712355,0.181233,0.386654
training1,3,11,1,1,1,0.862082,0.712355,0.181233,0.386654
training1,3,12,0,2,1,0.862082,0.747494,0.181233,0.386654
training1,4,1,1,1,1,0.870256,0.747494,0.181233,0.386654
training1,4,2,0,2,1,0.870256,0.774805,0.181233,0.386654
training1,4,3,1,1,1,0.877466,0.774805,0.181233,0.386654
training1,4,4,0,2,1,0.877466,0.796641,0.181233,0.386654
training1,4,5,1,1,1,0.883874,0.796641,0.181233,0.386654
